id,unit_number,unit_size,unit_balcony_size,unit_current_price,unit_construction_year,unit_scan_date,unit_status_id,project_id,unit_category_id,unit_type_id,unit_url,unit_rooms,unit_floor,sqrm_price
184,Korter 2,69.2,14.8,0,2021,2021-03-05,2,5,1,1,https://kaamos.ee/vahtramae/prices/iltre-11/korter-2/,3,1,0
185,Korter 3,47.1,13.5,0,2021,2021-03-05,3,5,1,1,#,2,1,0
186,Korter 4,47.2,13.5,0,2021,2021-03-05,2,5,1,1,https://kaamos.ee/vahtramae/prices/iltre-11/korter-4/,2,1,0
187,Korter 5,68.3,6.8,0,2021,2021-03-05,3,5,1,1,#,3,2,0
188,Korter 6,69.2,6.8,0,2021,2021-03-05,3,5,1,1,#,3,2,0
189,Korter 7,46.7,4.1,0,2021,2021-03-05,2,5,1,1,https://kaamos.ee/vahtramae/prices/iltre-11/korter-7/,2,2,0
190,Korter 8,86.7,13.6,0,2021,2021-03-05,3,5,1,1,#,4,2,0
191,Korter 9,47.2,4.1,0,2021,2021-03-05,3,5,1,1,#,2,2,0
192,Korter 10,68.3,6.8,0,2021,2021-03-05,2,5,1,1,https://kaamos.ee/vahtramae/prices/iltre-11/korter-10/,3,3,0
193,Korter 11,69.2,6.8,0,2021,2021-03-05,3,5,1,1,#,3,3,0
194,Korter 12,46.7,4.1,0,2021,2021-03-05,3,5,1,1,#,2,3,0
195,Korter 13,86.7,13.6,0,2021,2021-03-05,3,5,1,1,#,4,3,0
196,Korter 14,47.2,4.1,0,2021,2021-03-05,3,5,1,1,#,2,3,0
197,Korter 1,68.3,14.8,0,2021,2021-03-05,2,6,1,1,https://kaamos.ee/vahtramae/prices/iltre-9/korter-1/,3,1,0
198,Korter 2,69.2,14.8,0,2021,2021-03-05,3,6,1,1,#,3,1,0
199,Korter 3,47.1,13.5,0,2021,2021-03-05,3,6,1,1,#,2,1,0
200,Korter 4,47.2,13.5,0,2021,2021-03-05,3,6,1,1,#,2,1,0
201,Korter 5,68.3,6.8,0,2021,2021-03-05,3,6,1,1,#,3,2,0
202,Korter 6,69.2,6.8,0,2021,2021-03-05,3,6,1,1,#,3,2,0
203,Korter 7,46.7,4.1,0,2021,2021-03-05,3,6,1,1,#,2,2,0
204,Korter 8,86.7,13.6,0,2021,2021-03-05,2,6,1,1,https://kaamos.ee/vahtramae/prices/iltre-9/korter-8/,4,2,0
205,Korter 9,47.2,4.1,0,2021,2021-03-05,3,6,1,1,#,2,2,0
206,Korter 10,68.3,6.8,0,2021,2021-03-05,3,6,1,1,#,3,3,0
207,Korter 11,69.2,6.8,0,2021,2021-03-05,3,6,1,1,#,3,3,0
